id;com_id;jhi_key;value;description;data_type;activated
1;27294;Fantastic;paradigms;Ameliorated;seize Maine feed;true
2;85806;local area network invoice digital;next generation;Berkshire Investment Account;Ecuador copy Jamaica;true
3;97937;Personal Loan Account index Ergonomic;Human;Proactive;Electronics;false
4;60104;demand-driven;Self-enabling;XML;mint green;true
5;35363;reinvent;SDD holistic;Assimilated Outdoors Coordinator;invoice calculate;true
6;79912;Iowa;backing up Buckinghamshire;pricing structure navigating;Personal Loan Account Cambridgeshire Savings Account;false
7;85015;driver;value-added Fantastic firmware;Expressway Unbranded Concrete Bacon;navigating success encryption;false
8;72216;Health Shoes;matrix Rustic Chair;solutions RSS Borders;24/365 invoice;true
9;74471;payment backing up;Flats cultivate Hat;optical Handmade invoice;action-items copy Awesome Wooden Gloves;true
10;19330;Intelligent;solid state Small applications;SMTP connecting Liberian Dollar;synergy bypass service-desk;false
