id;config_key;data_type;description
1;JSON B2C target;Moldova;cultivate
2;drive networks Human;Iraqi Dinar;navigate deposit Buckinghamshire
3;orange transparent Avon;Extended relationships;invoice iterate Pants
4;incremental;Checking Account system;Handmade Cotton Car
5;Fully-configurable Via;withdrawal override context-sensitive;Connecticut Designer
6;Borders Money Market Account Rubber;Data yellow;instruction set Denar
7;Manat Lead architectures;Car maroon Personal Loan Account;gold Switchable infrastructures
8;overriding intangible Auto Loan Account;Beauty payment Metal;optimizing
9;National connect;capability Clothing;white
10;Refined Soft Cheese Berkshire Ethiopian Birr;supply-chains Computer;Intelligent Cotton Keyboard Buckinghamshire brand
